"id","name","address","region","city","country","latitude","longitude","type","has_forecast","detail_url","total_spaces","source_id","pricing","opening_hours","additional_info"
1,"Altmarkt","Altmarkt 1, 01067 Dresden","Innere Altstadt","Dresden","DE",51.0506700789,13.741789104,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?3&id=431",400,1,,,"Einfahrt von Wilsdruffer Straße, Einfahrtshöhe max. 2,00 m, Kontakt: 03 51 / 481 02 74, servicecenter@q-park.de"
2,"An der Frauenkirche","An der Frauenkirche 12a, 01067 Dresden","Innere Altstadt","Dresden","DE",51.051415072,13.7441934672,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?4&id=403",120,1,,,"Einfahrt von Schießgasse, Kontakt: 03 51 / 496 06 03, tiefgarage-frauenkirche.dresden@gmx.de"
3,"Frauenkirche Neumarkt","Landhausstraße 2, 01067 Dresden","Innere Altstadt","Dresden","DE",51.0590019661,13.7308651039,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?5&id=422",250,1,,,"Einfahrtshöhe max. 2,0 m, Kontakt: 03 51 / 821 25 58, servicecenter@q-park.de"
4,"Haus am Zwinger","Kleine Brüdergasse 3, 01067 Dresden","Innere Altstadt","Dresden","DE",51.0514142863,13.7357788973,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?6&id=402",171,1,,,"Einfahrtshöhe max. 2,0 m, Kontakt: 07 11 / 30 57 03 05, service@apcoa.de"
5,"Schießgasse","Schießgasse, 01067 Dresden","Innere Altstadt","Dresden","DE",51.0504295976,13.7445053432,"lot",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?8&id=411",255,1,,,"Kontakt: 03 51 / 488 97 97, tiefbauamt-verkehrstechnik@dresden.de"
6,"Taschenbergpalais","Kleine Brüdergasse 3, 01067 Dresden","Innere Altstadt","Dresden","DE",51.0517691273,13.7353413756,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?9&id=401",98,1,,,"Einfahrtshöhe max. 2,0 m, Kontakt: 07 11 / 30 57 03 05, service@apcoa.de"
7,"Kongresszentrum","Ostra-Ufer 2, 01067 Dresden","Ring West","Dresden","DE",51.0419707134,13.731187746,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?12&id=421",250,1,,,
9,"Parkhaus Mitte","Magdeburger Str. 1, 01067 Dresden","Ring West","Dresden","DE",51.0581412221,13.726110154,"carpark",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?20&id=429",280,1,,,"Kontakt: 03 51 / 481 80 33, service@parkhaus-dresden.info"
10,"Semperoper","Devrientstraße, 01067 Dresden","Ring West","Dresden","DE",51.0554397704,13.7339577336,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?24&id=408",400,1,,,"Einfahrtshöhe max. 1,95 m, Kontakt: 03 51 / 496 77 05"
11,"World Trade Center","Ammonstraße 70, 01067 Dresden","Ring West","Dresden","DE",51.0493736241,13.721715643,"underground",FALSE,"https://www.dresden.de/apps_ext/ParkplatzApp/detail?25&id=407",220,1,,,"Einfahrt von Freiberger Straße, Einfahrtshöhe max. 2,0 m"
